child_table,child_column,parent_table,parent_column,CONSTRAINT_NAME
appointments,doctor_id,doctors,id,appointments_doctor_id_foreign
appointments,patient_id,patients,id,appointments_patient_id_foreign
bill_items,bill_id,bills,id,bill_items_bill_id_foreign
bills,created_by,staff,id,bills_created_by_foreign
bills,doctor_id,doctors,id,bills_doctor_id_foreign
bills,patient_id,patients,id,bills_patient_id_foreign
bills,treatment_id,treatments,id,bills_treatment_id_foreign
bills,updated_by,staff,id,bills_updated_by_foreign
diagnoses,treatment_id,treatments,id,diagnoses_treatment_id_foreign
inventory_items,pharmacy_drug_id,pharmacy_drugs,id,inventory_items_pharmacy_drug_id_foreign
inventory_items,supplier_id,suppliers,id,inventory_items_supplier_id_foreign
inventory_transactions,item_id,inventory_items,id,inventory_transactions_item_id_foreign
lab_request_tests,lab_request_id,lab_requests,id,lab_request_tests_lab_request_id_foreign
lab_request_tests,test_template_id,lab_test_templates,id,lab_request_tests_test_template_id_foreign
lab_requests,created_by,staff,id,lab_requests_created_by_foreign
lab_requests,doctor_id,doctors,id,lab_requests_doctor_id_foreign
lab_requests,lab_technician_id,staff,id,lab_requests_lab_technician_id_foreign
lab_requests,patient_id,patients,id,lab_requests_patient_id_foreign
lab_requests,reviewed_by,staff,id,lab_requests_reviewed_by_foreign
lab_requests,treatment_id,treatments,id,lab_requests_treatment_id_foreign
lab_requests,updated_by,staff,id,lab_requests_updated_by_foreign
lab_result_parameters,lab_result_id,lab_results,id,lab_result_parameters_lab_result_id_foreign
lab_result_parameters,parameter_id,lab_test_parameters,id,lab_result_parameters_parameter_id_foreign
lab_results,lab_request_id,lab_requests,id,lab_results_lab_request_id_foreign
lab_results,lab_request_test_id,lab_request_tests,id,lab_results_lab_request_test_id_foreign
lab_results,performed_by,staff,id,lab_results_performed_by_foreign
lab_results,test_template_id,lab_test_templates,id,lab_results_test_template_id_foreign
lab_results,verified_by,staff,id,lab_results_verified_by_foreign
lab_samples,collected_by,staff,id,lab_samples_collected_by_foreign
lab_samples,lab_request_id,lab_requests,id,lab_samples_lab_request_id_foreign
lab_test_parameters,test_template_id,lab_test_templates,id,lab_test_parameters_test_template_id_foreign
lab_test_templates,category_id,lab_test_categories,id,lab_test_templates_category_id_foreign
patients,created_by,staff,id,patients_created_by_foreign
patients,updated_by,staff,id,patients_updated_by_foreign
payments,bill_id,bills,id,payments_bill_id_foreign
payments,created_by,staff,id,payments_created_by_foreign
payments,updated_by,staff,id,payments_updated_by_foreign
pharmacy_dispensation_items,batch_id,pharmacy_drug_batches,id,pharmacy_dispensation_items_batch_id_foreign
pharmacy_dispensation_items,dispensation_id,pharmacy_dispensations,id,pharmacy_dispensation_items_dispensation_id_foreign
pharmacy_dispensation_items,drug_id,pharmacy_drugs,id,pharmacy_dispensation_items_drug_id_foreign
pharmacy_dispensation_items,original_drug_id,pharmacy_drugs,id,pharmacy_dispensation_items_original_drug_id_foreign
pharmacy_dispensation_items,prescription_item_id,pharmacy_prescription_items,id,pharmacy_dispensation_items_prescription_item_id_foreign
pharmacy_dispensations,assigned_pharmacist_id,staff,id,pharmacy_dispensations_assigned_pharmacist_id_foreign
pharmacy_dispensations,dispensed_by_staff_id,staff,id,pharmacy_dispensations_dispensed_by_staff_id_foreign
pharmacy_dispensations,patient_id,patients,id,pharmacy_dispensations_patient_id_foreign
pharmacy_dispensations,prescription_id,pharmacy_prescriptions,id,pharmacy_dispensations_prescription_id_foreign
pharmacy_dispensations,verified_by_pharmacist_id,staff,id,pharmacy_dispensations_verified_by_pharmacist_id_foreign
pharmacy_drug_batches,drug_id,pharmacy_drugs,id,pharmacy_drug_batches_drug_id_foreign
pharmacy_drug_batches,quality_checked_by,staff,id,pharmacy_drug_batches_quality_checked_by_foreign
pharmacy_drug_batches,received_by,staff,id,pharmacy_drug_batches_received_by_foreign
pharmacy_drug_batches,supplier_id,suppliers,id,pharmacy_drug_batches_supplier_id_foreign
pharmacy_drug_interactions,drug_a_id,pharmacy_drugs,id,pharmacy_drug_interactions_drug_a_id_foreign
pharmacy_drug_interactions,drug_b_id,pharmacy_drugs,id,pharmacy_drug_interactions_drug_b_id_foreign
pharmacy_drug_interactions,reviewed_by,staff,id,pharmacy_drug_interactions_reviewed_by_foreign
pharmacy_drugs,created_by,staff,id,pharmacy_drugs_created_by_foreign
pharmacy_drugs,updated_by,staff,id,pharmacy_drugs_updated_by_foreign
pharmacy_inventory_transactions,authorized_by,staff,id,pharmacy_inventory_transactions_authorized_by_foreign
pharmacy_inventory_transactions,batch_id,pharmacy_drug_batches,id,pharmacy_inventory_transactions_batch_id_foreign
pharmacy_inventory_transactions,drug_id,pharmacy_drugs,id,pharmacy_inventory_transactions_drug_id_foreign
pharmacy_inventory_transactions,performed_by,staff,id,pharmacy_inventory_transactions_performed_by_foreign
pharmacy_orders,doctor_id,doctors,id,pharmacy_orders_doctor_id_foreign
pharmacy_orders,patient_id,patients,id,pharmacy_orders_patient_id_foreign
pharmacy_orders,pharmacist_id,staff,id,pharmacy_orders_pharmacist_id_foreign
pharmacy_orders,prescription_id,prescriptions,id,pharmacy_orders_prescription_id_foreign
pharmacy_prescription_items,drug_id,pharmacy_drugs,id,pharmacy_prescription_items_drug_id_foreign
pharmacy_prescription_items,prescription_id,pharmacy_prescriptions,id,pharmacy_prescription_items_prescription_id_foreign
pharmacy_prescriptions,cancelled_by,staff,id,pharmacy_prescriptions_cancelled_by_foreign
pharmacy_prescriptions,doctor_id,doctors,id,pharmacy_prescriptions_doctor_id_foreign
pharmacy_prescriptions,patient_id,patients,id,pharmacy_prescriptions_patient_id_foreign
pharmacy_prescriptions,treatment_id,treatments,id,pharmacy_prescriptions_treatment_id_foreign
pharmacy_reorder_requests,pharmacy_drug_id,pharmacy_drugs,id,pharmacy_reorder_requests_pharmacy_drug_id_foreign
pharmacy_stock_alerts,acknowledged_by,staff,id,pharmacy_stock_alerts_acknowledged_by_foreign
pharmacy_stock_alerts,batch_id,pharmacy_drug_batches,id,pharmacy_stock_alerts_batch_id_foreign
pharmacy_stock_alerts,drug_id,pharmacy_drugs,id,pharmacy_stock_alerts_drug_id_foreign
pharmacy_stock_alerts,resolved_by,staff,id,pharmacy_stock_alerts_resolved_by_foreign
prescription_items,inventory_item_id,inventory_items,id,prescription_items_inventory_item_id_foreign
prescription_items,manually_added_by,users,id,prescription_items_manually_added_by_foreign
prescription_items,mapped_drug_id,pharmacy_drugs,id,prescription_items_mapped_drug_id_foreign
prescription_items,prescription_id,prescriptions,id,prescription_items_prescription_id_foreign
prescriptions,dispensed_by_staff_id,staff,id,prescriptions_dispensed_by_staff_id_foreign
prescriptions,doctor_id,doctors,id,prescriptions_doctor_id_foreign
prescriptions,patient_id,patients,id,prescriptions_patient_id_foreign
prescriptions,reviewed_by_pharmacist_id,staff,id,prescriptions_reviewed_by_pharmacist_id_foreign
prescriptions,treatment_id,treatments,id,prescriptions_treatment_id_foreign
queue,added_by,staff,id,queue_added_by_foreign
queue,attended_by,staff,id,queue_attended_by_foreign
queue,patient_id,patients,id,queue_patient_id_foreign
staff_documents,staff_id,staff,id,staff_documents_staff_id_foreign
surveillance_cases,created_by,staff,id,surveillance_cases_created_by_foreign
surveillance_cases,patient_id,patients,id,surveillance_cases_patient_id_foreign
surveillance_cases,treatment_id,treatments,id,surveillance_cases_treatment_id_foreign
surveillance_cases,updated_by,staff,id,surveillance_cases_updated_by_foreign
treatments,bill_id,bills,id,treatments_bill_id_foreign
treatments,created_by,staff,id,treatments_created_by_foreign
treatments,doctor_id,doctors,id,treatments_doctor_id_foreign
treatments,patient_id,patients,id,treatments_patient_id_foreign
treatments,updated_by,staff,id,treatments_updated_by_foreign
triages,patient_id,patients,id,triages_patient_id_foreign
triages,recorded_by,staff,id,triages_recorded_by_foreign
triages,updated_by,staff,id,triages_updated_by_foreign
